Frequency (Hz)	Level (dB)
414.062500	-69.113045
415.039062	-68.260056
416.015625	-67.022377
416.992188	-66.781479
417.968750	-67.846245
418.945312	-67.039734
419.921875	-68.072289
420.898438	-66.122620
421.875000	-66.444641
422.851562	-65.573036
423.828125	-65.832138
424.804688	-64.335930
425.781250	-64.574249
426.757812	-64.855400
427.734375	-65.047119
428.710938	-64.456543
429.687500	-63.760925
430.664062	-64.335464
431.640625	-61.613628
432.617188	-62.530762
433.593750	-62.510300
434.570312	-62.975117
435.546875	-61.129745
436.523438	-61.752907
437.500000	-59.958309
438.476562	-60.568584
439.453125	-60.567448
440.429688	-61.191074
441.406250	-60.095619
442.382812	-60.062843
443.359375	-59.422260
444.335938	-59.028973
445.312500	-60.240002
446.289062	-59.756779
447.265625	-57.925381
448.242188	-59.525936
449.218750	-58.316639
450.195312	-59.992786
451.171875	-58.900127
452.148438	-59.705570
453.125000	-60.689766
454.101562	-60.089397
455.078125	-59.615868
456.054688	-60.735622
457.031250	-61.517570
458.007812	-61.217430
458.984375	-61.463566
459.960938	-61.370533
460.937500	-61.202007
461.914062	-62.706802
462.890625	-62.318939
463.867188	-62.636402
464.843750	-63.057156
465.820312	-64.103172
466.796875	-63.338337
467.773438	-63.461578
468.750000	-64.333412
469.726562	-63.659954
470.703125	-64.283821
471.679688	-65.866402
472.656250	-64.458076
473.632812	-66.450531
474.609375	-66.577667
475.585938	-67.272217
476.562500	-66.274559
477.539062	-66.967186
478.515625	-67.106758
479.492188	-67.153107
480.468750	-67.400192
481.445312	-67.347839
482.421875	-68.239235
483.398438	-67.455086
484.375000	-68.219322
485.351562	-68.138634
486.328125	-68.771309
487.304688	-68.350800
488.281250	-69.701233
489.257812	-67.559120
490.234375	-68.207520
491.210938	-69.427963
492.187500	-70.147842
493.164062	-68.057129
494.140625	-69.517761
495.117188	-69.165649
496.093750	-69.028397
497.070312	-71.103050
498.046875	-70.425209
499.023438	-69.964256
500.000000	-72.106712
500.976562	-70.146454
501.953125	-69.273796
502.929688	-70.538361
503.906250	-70.522758
504.882812	-70.891983
505.859375	-70.697708
506.835938	-70.771454
507.812500	-70.175293
508.789062	-71.216385
509.765625	-72.569206
510.742188	-70.691750
511.718750	-71.298027
512.695312	-70.902443
513.671875	-72.393715
514.648438	-71.882050
515.625000	-71.079857
516.601562	-71.352333
517.578125	-72.593048
518.554688	-71.211975
519.531250	-71.857201
520.507812	-72.005013
521.484375	-71.407219
522.460938	-72.675064
523.437500	-73.008629
524.414062	-72.608093
525.390625	-72.695770
526.367188	-73.160965
527.343750	-73.123306
528.320312	-72.583153
529.296875	-72.391258
530.273438	-72.899712
531.250000	-72.405670
532.226562	-72.113251
533.203125	-71.178436
534.179688	-73.095673
535.156250	-72.839203
536.132812	-72.417892
537.109375	-72.813881
538.085938	-73.224869
539.062500	-72.230812
540.039062	-73.305786
541.015625	-73.530212
541.992188	-72.749321
542.968750	-72.039268
543.945312	-72.895943
544.921875	-72.928040
545.898438	-73.961243
546.875000	-73.577347
547.851562	-72.735329
548.828125	-72.956078
549.804688	-73.098976
550.781250	-73.018051
551.757812	-73.751686
552.734375	-72.090523
553.710938	-72.291878
554.687500	-71.934105
555.664062	-72.432892
556.640625	-73.043671
557.617188	-72.795372
558.593750	-72.069138
559.570312	-72.354774
560.546875	-74.758530
561.523438	-73.645020
562.500000	-72.778862
563.476562	-71.722725
564.453125	-72.420227
565.429688	-73.835068
566.406250	-73.575394
567.382812	-72.297958
568.359375	-72.238953
569.335938	-73.022087
570.312500	-72.355583
571.289062	-73.828522
572.265625	-72.946999
573.242188	-72.165970
574.218750	-74.393509
575.195312	-73.408913
576.171875	-73.008530
577.148438	-72.777321
578.125000	-72.710121
579.101562	-73.628052
580.078125	-72.626106
581.054688	-73.287758
582.031250	-73.183426
583.007812	-72.363029
583.984375	-72.681320
584.960938	-73.389030
585.937500	-73.036018
586.914062	-72.133873
587.890625	-72.274933
588.867188	-72.256592
589.843750	-71.868835
590.820312	-71.619766
591.796875	-73.415222
592.773438	-71.533661
593.750000	-71.442642
594.726562	-71.891991
595.703125	-72.761383
596.679688	-71.079865
597.656250	-71.094772
598.632812	-72.096581
599.609375	-70.865959
600.585938	-72.379005
601.562500	-71.464897
602.539062	-71.261253
603.515625	-71.359184
604.492188	-71.918884
605.468750	-70.554543
606.445312	-70.962601
607.421875	-70.348564
608.398438	-71.730804
609.375000	-71.317360
610.351562	-70.073021
611.328125	-70.750244
612.304688	-70.308105
613.281250	-70.870659
614.257812	-70.729195
615.234375	-69.943718
616.210938	-69.717262
617.187500	-69.330063
618.164062	-69.235886
619.140625	-70.945885
620.117188	-68.997894
621.093750	-69.159584
622.070312	-69.715744
623.046875	-69.030510
624.023438	-68.970459
625.000000	-68.941574
625.976562	-68.389465
626.953125	-67.627296
627.929688	-67.991852
628.906250	-69.341751
629.882812	-68.348839
630.859375	-68.576439
631.835938	-68.983192
632.812500	-66.862289
633.789062	-66.159195
634.765625	-68.611000
635.742188	-67.219337
636.718750	-66.218956
637.695312	-66.454170
638.671875	-65.567436
639.648438	-66.086555
640.625000	-65.981796
641.601562	-66.697479
642.578125	-65.280090
643.554688	-65.308105
644.531250	-65.101814
645.507812	-63.374622
646.484375	-64.546333
647.460938	-64.186653
648.437500	-64.078575
649.414062	-63.923668
650.390625	-63.563404
651.367188	-62.932762
652.343750	-61.964878
653.320312	-62.161983
654.296875	-62.451855
655.273438	-62.454845
656.250000	-61.700905
657.226562	-62.586109
658.203125	-61.563805
659.179688	-61.328583
660.156250	-60.687576
661.132812	-61.483433
662.109375	-60.490704
663.085938	-58.843849
664.062500	-59.530155
665.039062	-58.992664
666.015625	-59.124527
666.992188	-58.945217
667.968750	-59.260475
668.945312	-58.218056
669.921875	-58.332798
670.898438	-58.407688
671.875000	-58.343739
672.851562	-57.440128
673.828125	-57.796387
674.804688	-57.859409
675.781250	-59.911789
676.757812	-58.112934
677.734375	-58.885437
678.710938	-58.722221
679.687500	-59.471783
680.664062	-58.412113
681.640625	-57.376163
682.617188	-58.487431
683.593750	-59.102039
684.570312	-59.025379
685.546875	-59.068554
686.523438	-60.010502
687.500000	-61.385166
688.476562	-60.735577
689.453125	-60.719246
690.429688	-62.868916
691.406250	-62.520737
692.382812	-62.320625
693.359375	-62.347786
694.335938	-63.172791
695.312500	-63.868797
696.289062	-64.886612
697.265625	-63.054985
698.242188	-63.835583
699.218750	-65.698120
700.195312	-64.652794
701.171875	-63.904205
702.148438	-65.293167
703.125000	-64.553841
704.101562	-64.051857
705.078125	-64.937744
706.054688	-65.142731
707.031250	-65.824814
708.007812	-67.315231
708.984375	-66.561508
709.960938	-66.852173
710.937500	-65.647751
711.914062	-66.241592
712.890625	-68.018097
713.867188	-65.636040
714.843750	-67.037567
715.820312	-66.272919
716.796875	-67.080193
717.773438	-68.131187
718.750000	-67.612267
719.726562	-68.256447
720.703125	-68.475960
721.679688	-67.195953
722.656250	-68.496956
723.632812	-68.532211
724.609375	-68.591415
725.585938	-67.419243
726.562500	-67.450951
727.539062	-69.582123
728.515625	-68.746750
729.492188	-69.625427
730.468750	-69.023537
731.445312	-68.476456
732.421875	-69.935959
733.398438	-70.555687
734.375000	-68.917641
735.351562	-69.580811
736.328125	-70.055023
737.304688	-70.504272
738.281250	-69.147301
739.257812	-68.933777
740.234375	-69.095703
741.210938	-71.149261
742.187500	-68.838585
743.164062	-68.793457
744.140625	-70.833069
745.117188	-70.076553
746.093750	-70.275940
747.070312	-70.802078
748.046875	-70.215927
749.023438	-70.337814
750.000000	-71.023071
750.976562	-70.459488
751.953125	-70.455589
752.929688	-71.908905
753.906250	-70.721306
754.882812	-71.086426
755.859375	-71.710060
756.835938	-71.175766
757.812500	-70.914978
758.789062	-71.545441
759.765625	-70.670006
760.742188	-71.392242
761.718750	-71.817589
762.695312	-71.166016
763.671875	-70.919456
764.648438	-70.927185
765.625000	-71.236382
766.601562	-71.403831
767.578125	-71.009956
768.554688	-70.080025
769.531250	-71.334396
770.507812	-71.599846
771.484375	-71.619316
772.460938	-72.216888
773.437500	-71.315071
774.414062	-71.160347
775.390625	-70.033173
776.367188	-71.294678
777.343750	-71.762383
778.320312	-71.640594
779.296875	-71.602081
780.273438	-72.296196
781.250000	-72.837814
782.226562	-72.706505
783.203125	-72.012253
784.179688	-71.374016
785.156250	-71.344315
786.132812	-71.721092
787.109375	-71.229774
788.085938	-70.348564
789.062500	-71.784386
790.039062	-71.173439
791.015625	-72.037460
791.992188	-70.494423
792.968750	-71.062614
793.945312	-70.901825
794.921875	-71.309288
795.898438	-71.212723
796.875000	-70.900444
797.851562	-69.691589
798.828125	-69.890938
799.804688	-70.355042
800.781250	-70.755020
801.757812	-70.988808
802.734375	-71.389473
803.710938	-70.946739
804.687500	-70.753662
805.664062	-70.171631
806.640625	-71.387939
807.617188	-70.916565
808.593750	-70.152786
809.570312	-70.033607
810.546875	-69.995270
811.523438	-71.577179
812.500000	-70.498016
813.476562	-69.215538
814.453125	-69.969116
815.429688	-70.122612
816.406250	-69.478683
817.382812	-70.167633
818.359375	-69.496391
819.335938	-69.734421
820.312500	-69.074341
821.289062	-70.117134
822.265625	-70.710571
823.242188	-69.550659
824.218750	-70.180008
825.195312	-68.890709
826.171875	-69.187523
827.148438	-68.555656
828.125000	-70.396431
829.101562	-69.468689
830.078125	-69.236679
831.054688	-68.604965
832.031250	-69.135452
833.007812	-69.624329
833.984375	-68.699753
834.960938	-69.620667
835.937500	-69.813538
