Frequency (Hz)	Level (dB)
1104.492188	-65.622261
1105.468750	-66.557785
1106.445312	-64.751892
1107.421875	-66.474525
1108.398438	-66.036423
1109.375000	-67.010826
1110.351562	-66.720367
1111.328125	-66.335686
1112.304688	-67.077690
1113.281250	-68.549393
1114.257812	-66.905655
1115.234375	-65.538147
1116.210938	-67.593163
1117.187500	-66.838966
1118.164062	-67.943794
1119.140625	-67.186569
1120.117188	-66.358154
1121.093750	-67.219742
1122.070312	-67.196785
1123.046875	-66.335854
1124.023438	-67.648376
1125.000000	-67.471222
1125.976562	-66.504669
1126.953125	-69.025490
1127.929688	-68.215080
1128.906250	-68.304268
1129.882812	-68.868546
1130.859375	-66.935547
1131.835938	-68.740845
1132.812500	-67.994545
1133.789062	-67.923271
1134.765625	-69.263306
1135.742188	-70.097412
1136.718750	-68.244820
1137.695312	-69.008759
1138.671875	-68.259674
1139.648438	-68.538094
1140.625000	-68.451309
1141.601562	-69.388199
1142.578125	-70.190605
1143.554688	-68.132019
1144.531250	-71.170479
1145.507812	-69.730476
1146.484375	-70.505379
1147.460938	-70.104637
1148.437500	-68.851212
1149.414062	-70.306564
1150.390625	-69.587395
1151.367188	-69.375893
1152.343750	-69.375931
1153.320312	-68.859428
1154.296875	-70.549080
1155.273438	-70.571968
1156.250000	-70.123764
1157.226562	-71.102989
1158.203125	-71.703880
1159.179688	-69.872337
1160.156250	-70.093521
1161.132812	-71.758118
1162.109375	-71.129890
1163.085938	-71.462715
1164.062500	-71.071541
1165.039062	-71.026772
1166.015625	-71.261414
1166.992188	-71.106728
1167.968750	-71.073280
1168.945312	-69.793015
1169.921875	-70.078148
1170.898438	-71.385887
1171.875000	-70.640114
1172.851562	-71.237213
1173.828125	-71.786003
1174.804688	-71.117691
1175.781250	-70.880974
1176.757812	-71.469818
1177.734375	-71.456863
1178.710938	-72.955673
1179.687500	-71.822632
1180.664062	-72.083275
1181.640625	-70.868347
1182.617188	-71.114677
1183.593750	-70.815300
1184.570312	-72.058037
1185.546875	-71.324524
1186.523438	-70.336586
1187.500000	-72.230644
1188.476562	-72.358696
1189.453125	-70.862206
1190.429688	-71.412392
1191.406250	-71.111145
1192.382812	-70.846565
1193.359375	-72.161880
1194.335938	-71.057388
1195.312500	-70.731262
1196.289062	-71.960236
1197.265625	-72.719009
1198.242188	-72.339188
1199.218750	-72.692505
1200.195312	-71.770088
1201.171875	-71.260010
1202.148438	-71.578407
1203.125000	-70.424980
1204.101562	-71.706444
1205.078125	-71.002235
1206.054688	-72.033012
1207.031250	-72.247238
1208.007812	-71.059387
1208.984375	-71.426048
1209.960938	-70.790077
1210.937500	-71.967499
1211.914062	-72.198151
1212.890625	-70.882111
1213.867188	-71.502312
1214.843750	-72.189804
1215.820312	-71.859688
1216.796875	-71.786606
1217.773438	-69.910881
