Frequency (Hz)	Level (dB)
518.554688	-72.658173
519.531250	-73.635345
520.507812	-73.633408
521.484375	-73.166832
522.460938	-72.807976
523.437500	-72.778999
524.414062	-73.906540
525.390625	-73.804169
526.367188	-72.990265
527.343750	-73.265846
528.320312	-72.871696
529.296875	-71.904114
530.273438	-72.964821
531.250000	-71.377579
532.226562	-70.875366
533.203125	-70.710785
534.179688	-71.749283
535.156250	-71.377396
536.132812	-70.648026
537.109375	-71.217697
538.085938	-71.369370
539.062500	-70.354546
540.039062	-70.872025
541.015625	-70.847229
541.992188	-70.048775
542.968750	-69.213722
543.945312	-70.064148
544.921875	-69.760185
545.898438	-69.967094
546.875000	-69.974968
547.851562	-68.381889
548.828125	-68.936394
549.804688	-69.313568
550.781250	-67.939804
551.757812	-68.526115
552.734375	-67.698425
553.710938	-67.409775
554.687500	-66.831207
555.664062	-66.943314
556.640625	-66.259468
557.617188	-66.639725
558.593750	-66.542786
559.570312	-65.815704
560.546875	-66.420868
561.523438	-66.119278
562.500000	-66.286514
563.476562	-64.379486
564.453125	-64.414101
565.429688	-65.637695
566.406250	-65.642990
567.382812	-64.136993
568.359375	-63.888077
569.335938	-63.911934
570.312500	-62.800240
571.289062	-64.009193
572.265625	-62.977688
573.242188	-62.803894
574.218750	-64.091080
575.195312	-63.022930
576.171875	-62.135090
577.148438	-61.442287
578.125000	-61.796223
579.101562	-62.500523
580.078125	-62.316620
581.054688	-61.692749
582.031250	-60.886665
583.007812	-61.082569
583.984375	-62.420280
584.960938	-62.532841
585.937500	-61.650967
586.914062	-60.944290
587.890625	-62.222191
588.867188	-61.722172
589.843750	-61.841049
590.820312	-61.783062
591.796875	-63.044945
592.773438	-62.513874
593.750000	-62.840530
594.726562	-63.459183
595.703125	-64.497238
596.679688	-63.559689
597.656250	-63.566181
598.632812	-64.788971
599.609375	-63.911331
600.585938	-65.327599
601.562500	-65.065552
602.539062	-65.339638
603.515625	-66.041107
604.492188	-66.499382
605.468750	-66.170830
606.445312	-66.615601
607.421875	-65.690071
608.398438	-68.321167
609.375000	-67.095207
610.351562	-66.442581
611.328125	-68.301743
612.304688	-67.505287
613.281250	-68.955009
614.257812	-68.144440
615.234375	-68.075836
616.210938	-68.353470
617.187500	-68.454353
618.164062	-68.595406
619.140625	-69.741547
620.117188	-69.039215
621.093750	-69.276230
622.070312	-69.164803
623.046875	-70.139236
624.023438	-69.962349
625.000000	-69.433228
625.976562	-70.114723
626.953125	-70.108841
627.929688	-70.343285
628.906250	-71.521996
629.882812	-71.125710
630.859375	-70.982185
631.835938	-71.366402
632.812500	-70.569473
633.789062	-70.644081
634.765625	-72.332993
635.742188	-70.836372
636.718750	-71.140991
637.695312	-71.852654
638.671875	-71.155762
639.648438	-71.873726
640.625000	-72.076630
641.601562	-72.634079
642.578125	-71.612984
643.554688	-71.540436
644.531250	-71.681847
645.507812	-71.345566
646.484375	-73.356476
647.460938	-73.348984
648.437500	-71.941330
649.414062	-72.450073
650.390625	-73.140839
651.367188	-72.200790
652.343750	-71.764107
653.320312	-72.913231
654.296875	-72.802078
655.273438	-72.906830
656.250000	-73.814720
657.226562	-74.293037
658.203125	-73.214020
659.179688	-74.140923
660.156250	-74.011208
661.132812	-74.287483
662.109375	-74.022285
663.085938	-73.070480
