Frequency (Hz)	Level (dB)
651.367188	-42.225452
652.343750	-41.673836
653.320312	-42.531368
654.296875	-42.878868
655.273438	-43.089512
656.250000	-42.674278
657.226562	-43.707741
658.203125	-43.113136
659.179688	-43.202644
660.156250	-42.921459
661.132812	-43.851120
662.109375	-43.506042
663.085938	-42.077278
664.062500	-42.805557
665.039062	-42.669731
666.015625	-43.077576
666.992188	-43.033524
667.968750	-43.711636
668.945312	-42.948032
669.921875	-43.273598
670.898438	-43.163067
671.875000	-43.386478
672.851562	-42.579185
673.828125	-43.219631
674.804688	-42.929741
675.781250	-44.884151
676.757812	-43.027363
677.734375	-43.850616
678.710938	-43.374294
679.687500	-43.823166
680.664062	-42.811619
681.640625	-41.281567
682.617188	-42.329494
683.593750	-42.350662
684.570312	-42.053585
685.546875	-41.943974
686.523438	-42.557980
687.500000	-43.591286
688.476562	-42.564350
689.453125	-42.354603
690.429688	-44.196705
691.406250	-43.571636
692.382812	-42.983395
693.359375	-42.772560
694.335938	-43.401920
695.312500	-43.747078
696.289062	-44.726917
697.265625	-42.471630
698.242188	-42.690807
699.218750	-44.654144
700.195312	-43.344872
701.171875	-42.266693
702.148438	-43.645206
703.125000	-42.551697
704.101562	-42.130573
705.078125	-42.436047
706.054688	-42.407082
707.031250	-43.337841
708.007812	-44.227726
708.984375	-43.385929
709.960938	-43.518078
710.937500	-41.931736
711.914062	-42.580479
712.890625	-44.010601
713.867188	-41.719532
714.843750	-42.913105
715.820312	-41.926113
716.796875	-42.692165
717.773438	-43.374985
718.750000	-42.776627
719.726562	-43.275711
720.703125	-43.486923
721.679688	-42.010265
722.656250	-42.987457
723.632812	-43.178833
724.609375	-43.156219
725.585938	-41.674004
726.562500	-41.830360
727.539062	-43.899399
728.515625	-42.665222
729.492188	-43.565144
730.468750	-42.607716
731.445312	-42.122974
732.421875	-43.496414
733.398438	-43.864590
734.375000	-42.268993
735.351562	-42.750683
736.328125	-43.092270
737.304688	-43.792103
738.281250	-42.160854
739.257812	-41.714306
740.234375	-41.858742
741.210938	-43.859776
742.187500	-41.676773
743.164062	-41.783543
744.140625	-43.617756
745.117188	-42.547558
746.093750	-42.642521
747.070312	-42.963017
748.046875	-42.443607
749.023438	-42.555031
750.000000	-43.193455
